Date,Price,Open,High,Low,Vol.,Change %
04/03/2007,1245.57,1225.98,1246.97,1225.98,220.73M,1.60%
04/02/2007,1225.98,1214.41,1225.98,1206.58,207.59M,0.95%
03/30/2007,1214.41,1214.28,1220.05,1210.77,285.04M,0.01%
03/29/2007,1214.28,1201.14,1215.07,1201.14,191.79M,1.09%
03/28/2007,1201.13,1214.63,1214.63,1196.78,236.24M,-1.11%
03/27/2007,1214.63,1206.26,1219.48,1206.26,255.32M,0.69%
03/26/2007,1206.26,1221.85,1221.88,1204.88,206.06M,-1.28%
03/23/2007,1221.85,1223.57,1226.65,1217.89,189.30M,-0.14%
03/22/2007,1223.57,1204.67,1227.9,1204.67,336.53M,1.57%
03/21/2007,1204.67,1196.26,1209.37,1195.92,251.02M,0.70%
03/20/2007,1196.26,1188.73,1196.26,1180.2,286.94M,0.63%
03/19/2007,1188.73,1166.98,1190.03,1166.98,276.06M,1.86%
03/16/2007,1166.98,1166.73,1176.55,1158.81,231.25M,0.02%
03/15/2007,1166.73,1136.83,1166.73,1136.83,253.16M,2.63%
03/14/2007,1136.83,1175.75,1175.75,1136.83,457.39M,-3.31%
03/13/2007,1175.75,1191.53,1193.45,1175.75,282.25M,-1.32%
03/12/2007,1191.53,1188.88,1200.88,1185.35,226.64M,0.22%
03/09/2007,1188.88,1187.24,1197.15,1174.8,273.00M,0.14%
03/08/2007,1187.24,1164.44,1187.24,1164.44,294.65M,1.96%
03/07/2007,1164.44,1148.57,1167.25,1148.57,269.04M,1.38%
03/06/2007,1148.57,1147.93,1160.3,1145.92,257.69M,0.06%
03/05/2007,1147.93,1159.55,1159.55,1119.15,313.91M,-1.00%
03/02/2007,1159.55,1151.18,1169.33,1143.7,376.35M,0.73%
03/01/2007,1151.18,1157.84,1175.63,1130.6,521.23M,-0.58%
02/28/2007,1157.84,1183.07,1183.07,1152.6,474.40M,-2.13%
02/27/2007,1183.07,1229.65,1229.65,1171.83,413.21M,-3.79%
02/26/2007,1229.65,1218.32,1232.82,1218.32,157.40M,0.93%
02/23/2007,1218.32,1207.73,1219.27,1206.21,230.25M,0.88%
02/22/2007,1207.73,1207.26,1217.28,1207.26,239.20M,0.04%
02/21/2007,1207.26,1211.47,1218.35,1205.27,266.66M,-0.35%
02/20/2007,1211.47,1221.45,1225.31,1206.72,362.88M,-0.82%
02/19/2007,1221.45,1215.04,1226.29,1215.04,230.45M,0.53%
02/16/2007,1215.04,1220.37,1220.37,1211.88,198.97M,-0.44%
02/15/2007,1220.37,1212.24,1222.3,1212.23,276.70M,0.67%
02/14/2007,1212.24,1190.1,1212.24,1190.1,296.87M,1.86%
02/13/2007,1190.1,1187.12,1193.91,1186.29,237.96M,0.25%
02/12/2007,1187.12,1201.15,1201.15,1184.71,236.06M,-1.17%
02/09/2007,1201.15,1193.62,1201.34,1193.62,202.79M,0.63%
02/08/2007,1193.62,1206.02,1206.02,1186.52,296.78M,-1.03%
02/07/2007,1206.03,1201.03,1206.81,1196.66,320.79M,0.42%
02/06/2007,1201.03,1192.64,1206,1192.64,285.03M,0.70%
02/05/2007,1192.64,1187.09,1196.34,1187.09,262.77M,0.47%
02/02/2007,1187.09,1191.71,1191.71,1183.45,851.38M,-0.39%
02/01/2007,1191.71,1185.98,1201.29,1185.98,420.23M,0.48%
01/31/2007,1185.98,1190.26,1193.44,1184.08,249.20M,-0.36%
01/30/2007,1190.26,1178.88,1190.96,1172.87,468.25M,0.97%
01/29/2007,1178.88,1177.35,1181.66,1173.7,239.75M,0.13%
01/26/2007,1177.35,1185.82,1185.82,1174.92,176.13M,-0.71%
01/25/2007,1185.82,1177.89,1192.03,1177.89,305.27M,0.67%
01/24/2007,1177.89,1175.13,1181.51,1174.84,180.03M,0.23%
01/23/2007,1175.13,1181.35,1183.13,1171.93,316.53M,-0.53%
01/22/2007,1181.35,1180.57,1190.76,1180.21,205.00M,0.07%
01/19/2007,1180.57,1173.59,1182.19,1170.36,251.73M,0.59%
01/18/2007,1173.59,1175.9,1181.47,1167.91,285.55M,-0.20%
01/17/2007,1175.9,1170.63,1180.62,1170.56,317.48M,0.45%
01/16/2007,1170.63,1173.87,1178.24,1168.69,275.92M,-0.28%
01/15/2007,1173.87,1159.46,1176.64,1159.46,193.04M,1.24%
01/12/2007,1159.46,1160.04,1164.92,1155.08,172.98M,-0.05%
01/11/2007,1160.04,1133.05,1161.04,1133.05,258.96M,2.38%
01/10/2007,1133.05,1143.09,1143.09,1128.9,269.92M,-0.88%
01/09/2007,1143.09,1144.48,1153.52,1142.97,195.58M,-0.12%
01/08/2007,1144.48,1147.22,1151.05,1140.29,210.47M,-0.24%
01/05/2007,1147.22,1149.58,1149.58,1138.51,101.59M,-0.21%
01/04/2007,1149.58,1158.38,1158.38,1141.38,238.55M,-0.76%
01/03/2007,1158.38,1164.12,1164.12,1151.02,186.84M,-0.49%
01/02/2007,1164.12,1147.27,1164.23,1147.27,132.02M,1.47%
12/29/2006,1147.27,1150.07,1153.14,1146.95,84.18M,-0.24%
12/28/2006,1150.07,1150.25,1150.67,1145.42,77.29M,-0.02%
