"Date","Price","Open","High","Low","Vol.","Change %"
"01/01/2005","741.50","741.14","758.13","724.73","4.69B","-0.05%"
"12/01/2004","741.88","743.87","755.90","728.76","4.16B","-0.20%"
"11/01/2004","743.34","702.06","753.58","700.61","4.20B","5.81%"
"10/01/2004","702.55","706.24","730.19","685.00","5.31B","-0.45%"
"09/01/2004","705.76","687.30","715.10","684.48","5.17B","3.03%"
"08/01/2004","685.03","680.35","692.08","644.04","4.86B","0.25%"
"07/01/2004","683.30","701.67","703.94","661.70","5.14B","-2.12%"
"06/01/2004","698.13","673.07","701.99","666.06","3.44B","3.59%"
"05/01/2004","673.95","684.64","699.42","649.94","4.77B","-1.70%"
"04/01/2004","685.59","697.46","729.45","684.30","6.67B","-0.68%"
"03/01/2004","690.28","699.57","723.72","660.11","7.82B","-1.13%"
"02/01/2004","698.18","677.50","709.75","662.39","7.70B","3.60%"
"01/01/2004","673.91","635.67","684.06","633.47","7.31B","5.91%"
"12/01/2003","636.29","616.63","644.06","604.47","4.22B","3.54%"
"11/01/2003","614.52","620.05","634.14","599.64","4.95B","-0.49%"
"10/01/2003","617.57","568.86","627.29","565.04","6.98B","8.92%"
"09/01/2003","567.02","588.88","618.42","565.01","6.40B","-3.31%"
"08/01/2003","586.43","570.42","603.26","550.42","5.33B","2.70%"
"07/01/2003","571.01","530.58","571.62","520.55","6.30B","7.44%"
"06/01/2003","531.46","517.93","545.44","508.24","6.27B","3.30%"
"05/01/2003","514.46","522.64","529.02","490.19","6.22B","-1.43%"
"04/01/2003","521.92","460.12","527.27","453.38","6.55B","14.01%"
"03/01/2003","457.78","472.52","506.03","430.33","5.81B","-2.59%"
"02/01/2003","469.97","476.72","501.47","451.11","6.52B","-1.64%"
"01/01/2003","477.80","494.33","530.71","462.87","6.72B","-3.12%"
"12/01/2002","493.20","578.07","585.42","490.79","5.05B","-14.26%"
"11/01/2002","575.24","508.55","587.23","496.85","8.26B","12.50%"
