Date,Close/Last,Open,High,Low
01/20/2023,1868.18,1861.25,1875.50,1858.24
01/19/2023,1862.71,1862.71,1887.61,1861.84
01/18/2023,1888.13,1888.13,1891.14,1877.91
01/17/2023,1880.59,1880.59,1892.32,1873.26
01/13/2023,1879.05,1853.27,1879.05,1852.68
01/12/2023,1828.17,1828.17,1833.45,1806.33
01/11/2023,1821.45,1821.45,1844.04,1813.91
01/10/2023,1836.72,1836.72,1859.55,1826.87
01/09/2023,1874.22,1874.22,1884.92,1870.32
01/06/2023,1872.98,1873.59,1874.70,1852.59
01/05/2023,1860.81,1860.81,1874.01,1854.12
01/04/2023,1870.37,1870.37,1901.34,1868.76
01/03/2023,1885.79,1885.79,1887.61,1863.02
12/30/2022,1858.25,1842.37,1865.05,1842.21
12/29/2022,1845.70,1845.70,1845.70,1819.39
12/28/2022,1825.91,1825.91,1833.25,1823.54
12/27/2022,1831.80,1831.80,1838.23,1828.61
12/23/2022,1829.15,1828.47,1833.79,1820.32
12/22/2022,1821.52,1821.52,1834.40,1815.95
12/21/2022,1816.51,1816.51,1819.04,1808.07
12/20/2022,1806.72,1806.72,1809.27,1790.34
12/19/2022,1804.78,1804.78,1816.28,1802.67
12/16/2022,1812.38,1811.07,1828.65,1806.16
12/15/2022,1836.28,1836.28,1851.65,1825.86
12/14/2022,1859.45,1859.45,1862.04,1836.73
12/13/2022,1847.14,1847.14,1858.36,1807.14
12/12/2022,1819.31,1819.31,1836.78,1812.57
12/09/2022,1836.55,1827.25,1841.22,1800.13
12/08/2022,1800.43,1800.43,1801.11,1787.18
12/07/2022,1796.63,1796.63,1806.92,1791.04
12/06/2022,1805.09,1805.09,1819.30,1799.34
12/05/2022,1819.34,1819.34,1824.86,1808.83
12/02/2022,1815.30,1805.91,1817.70,1794.41
12/01/2022,1809.17,1809.17,1818.51,1797.49
11/30/2022,1784.80,1784.80,1793.38,1777.51
11/29/2022,1771.48,1771.48,1788.01,1764.05
11/28/2022,1756.69,1756.69,1762.33,1743.01
11/25/2022,1752.39,1751.80,1754.62,1744.22
11/23/2022,1746.76,1733.22,1749.05,1733.22
11/22/2022,1720.22,1720.22,1721.08,1701.58
11/21/2022,1706.48,1706.48,1715.67,1697.36
11/18/2022,1703.03,1697.40,1705.87,1682.36
11/17/2022,1696.26,1696.26,1704.49,1686.06
11/16/2022,1699.88,1699.88,1720.32,1695.34
11/15/2022,1716.55,1716.55,1732.07,1707.54
11/14/2022,1727.36,1727.36,1738.61,1708.32
11/11/2022,1709.16,1721.53,1758.18,1708.93
11/10/2022,1752.04,1752.04,1770.21,1709.25
11/09/2022,1719.04,1719.04,1728.40,1706.66
11/08/2022,1726.42,1726.42,1731.61,1693.91
11/07/2022,1707.93,1707.93,1708.52,1682.39
11/04/2022,1684.33,1696.39,1712.72,1684.33
11/03/2022,1692.97,1692.97,1696.70,1670.93
11/02/2022,1700.28,1700.28,1704.04,1660.85
11/01/2022,1647.03,1647.03,1680.32,1642.34
10/31/2022,1662.17,1662.17,1665.34,1650.31
10/28/2022,1651.72,1643.15,1653.31,1633.15
10/27/2022,1640.07,1647.55,1652.23,1632.62
10/26/2022,1646.55,1646.55,1655.08,1629.44
10/25/2022,1636.34,1636.34,1640.30,1612.95
10/24/2022,1609.59,1609.59,1623.79,1588.54
10/21/2022,1576.59,1566.54,1597.01,1561.02
10/20/2022,1600.31,1600.31,1605.84,1582.22
10/19/2022,1602.81,1602.81,1625.17,1598.99
10/18/2022,1626.35,1626.35,1631.44,1607.54
10/17/2022,1601.68,1601.68,1610.28,1573.90
10/14/2022,1591.96,1600.15,1605.42,1580.59
10/13/2022,1557.66,1557.66,1574.19,1538.61
10/12/2022,1575.50,1575.50,1579.62,1561.77
10/11/2022,1561.52,1561.52,1562.83,1547.38
10/10/2022,1559.66,1559.66,1579.93,1543.56
10/07/2022,1563.67,1572.69,1586.38,1563.67
10/06/2022,1588.42,1588.42,1601.73,1578.09
10/05/2022,1576.73,1576.73,1593.02,1574.98
10/04/2022,1588.37,1588.37,1588.42,1554.59
10/03/2022,1551.33,1551.33,1553.83,1503.99
09/30/2022,1526.61,1522.03,1531.43,1518.81
09/29/2022,1516.18,1516.18,1544.49,1513.32
09/28/2022,1542.80,1542.80,1544.09,1503.40
09/27/2022,1530.59,1530.59,1538.88,1521.45
09/26/2022,1523.01,1523.01,1530.53,1513.44
09/23/2022,1528.77,1517.08,1546.69,1499.87
09/22/2022,1540.07,1540.07,1568.20,1538.27
09/21/2022,1578.37,1578.37,1580.27,1544.70
